# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 1478128950019
#
# Overhead  Command        Shared Object                   Symbol                                        
# ........  .............  ..............................  ..............................................
#
     0.01%  my_executable  [kernel.vmlinux]                [k] free_tail_page_prepare
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073584
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073394
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000735af
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073f74
     0.01%  my_executable  [kernel.vmlinux]                [k] __rmqueue_pcplist
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073d95
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007329f
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073bff
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073d86
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c2f
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073322
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007329b
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073602
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000730a5
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073374
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073ca6
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000733a6
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073d58
     0.01%  my_executable  [kernel.vmlinux]                [k] trigger_load_balance
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007327c
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c60
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073be4
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007394b
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073918
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c63
     0.00%  my_executable  [kernel.vmlinux]                [k] update_curr
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073ce5
     0.00%  my_executable  [kernel.vmlinux]                [k] __update_load_avg_cfs_rq
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d9c
     0.00%  my_executable  [kernel.vmlinux]                [k] idle_cpu
     0.00%  my_executable  [kernel.vmlinux]                [k] native_irq_return_iret
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c66
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000738fa
     0.00%  my_executable  [kernel.vmlinux]                [k] task_tick_fair
     0.00%  my_executable  [kernel.vmlinux]                [k] __irqentry_text_end
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007392d
     0.00%  my_executable  [kernel.vmlinux]                [k] psi_account_irqtime
     0.00%  my_executable  [kernel.vmlinux]                [k] update_cfs_group
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c35
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073337
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000735a8
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c4c
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073910
     0.00%  my_executable  [kernel.vmlinux]                [k] prep_compound_page
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d8a
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073f8e
     0.00%  my_executable  [kernel.vmlinux]                [k] native_write_msr
     0.00%  my_executable  [kernel.vmlinux]                [k] get_page_from_freelist
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000735b7
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073d54
     0.00%  my_executable  [kernel.vmlinux]                [k] hrtimer_active
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073330
     0.00%  my_executable  [kernel.vmlinux]                [k] __update_load_avg_se
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c45
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c6a
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073313
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c58
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073370
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000730aa
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073fa8
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c5d
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000732e7
     0.00%  my_executable  [kernel.vmlinux]                [k] native_queued_spin_lock_slowpath
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073568
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073292
     0.00%  my_executable  [kernel.vmlinux]                [k] free_unref_page_prepare
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073c3d
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007331a
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000733b3
     0.00%  my_executable  [kernel.vmlinux]                [k] error_entry
