# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 14907655679
#
# Overhead  Command        Shared Object           Symbol                                                                                     
# ........  .............  ......................  ...........................................................................................
#
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_se
     0.01%  my_executable  [kernel.vmlinux]        [k] mas_walk
     0.01%  my_executable  libm.so.6               [.] 0x000000000007334d
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073da7
     0.01%  my_executable  libstencil.so           [.] sin@plt
     0.01%  my_executable  [kernel.vmlinux]        [k] kfree
     0.01%  my_executable  [kernel.vmlinux]        [k] entry_SYSRETQ_unsafe_stack
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bb1
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073f8e
     0.01%  my_executable  libm.so.6               [.] 0x00000000000738fa
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c60
     0.01%  my_executable  [kernel.vmlinux]        [k] psi_account_irqtime
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cca
     0.01%  my_executable  libc.so.6               [.] malloc
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730a5
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073be8
     0.01%  my_executable  [kernel.vmlinux]        [k] nohz_balance_exit_idle
     0.01%  my_executable  [kernel.vmlinux]        [k] kmalloc_trace
     0.01%  my_executable  [kernel.vmlinux]        [k] _compound_head
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d98
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_dop_revalidate
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c45
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735c4
     0.01%  my_executable  [kernel.vmlinux]        [k] task_tick_fair
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_memcg_state
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c83
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d95
     0.01%  my_executable  [kernel.vmlinux]        [k] strcmp
     0.01%  my_executable  libm.so.6               [.] 0x000000000007360d
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e5ec
     0.01%  my_executable  [kernel.vmlinux]        [k] reweight_entity
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073df2
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000097fc
     0.01%  my_executable  [kernel.vmlinux]        [k] format_decode
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073285
     0.01%  my_executable  [kernel.vmlinux]        [k] hrtimer_interrupt
     0.01%  my_executable  [kernel.vmlinux]        [k] native_read_msr
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_refresh_inode
     0.01%  my_executable  [kernel.vmlinux]        [k] security_inode_permission
     0.01%  my_executable  [kernel.vmlinux]        [k] cgroup_rstat_updated
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c0d
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073596
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073772
     0.01%  my_executable  [kernel.vmlinux]        [k] update_sd_lb_stats.constprop.0
     0.01%  my_executable  [kernel.vmlinux]        [k] strncpy_from_user
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073296
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073fa8
     0.01%  my_executable  libm.so.6               [.] 0x00000000000731da
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730c6
     0.01%  my_executable  libm.so.6               [.] 0x00000000000733ef
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073330
     0.01%  my_executable  [kernel.vmlinux]        [k] folio_add_lru
     0.01%  my_executable  [kernel.vmlinux]        [k] link_path_walk.part.0.constprop.0
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000095b2
