# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 335K of event 'cycles:P'
# Event count (approx.): 194374310278
#
# Overhead  Command        Shared Object           Symbol                                    
# ........  .............  ......................  ..........................................
#
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073c35
     0.04%  my_executable  libstencil.so           [.] idx_const@plt
     0.04%  my_executable  libm.so.6               [.] 0x00000000000733a6
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073c63
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073c60
     0.04%  my_executable  libm.so.6               [.] 0x00000000000733b3
     0.04%  my_executable  [kernel.vmlinux]        [k] __wake_up_common
     0.03%  my_executable  [kernel.vmlinux]        [k] __rmqueue_pcplist
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073be4
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073c3d
     0.03%  my_executable  [kernel.vmlinux]        [k] __kernel_write_iter
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073d8a
     0.03%  my_executable  libm.so.6               [.] 0x00000000000735a8
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073c66
     0.03%  my_executable  libm.so.6               [.] 0x00000000000735b7
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073337
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073944
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073330
     0.03%  my_executable  libm.so.6               [.] 0x00000000000738f0
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073d7e
     0.03%  my_executable  libm.so.6               [.] 0x000000000007392d
     0.03%  my_executable  [kernel.vmlinux]        [k] follow_trans_huge_pmd
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073313
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073f8e
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073596
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073fa8
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073c4c
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073768
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073de2
     0.03%  my_executable  [kernel.vmlinux]        [k] memcpy_orig
     0.02%  my_executable  [kernel.vmlinux]        [k] update_load_avg
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c58
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c6a
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073292
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c45
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073910
     0.02%  my_executable  libm.so.6               [.] 0x000000000007333c
