# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:P'
# Event count (approx.): 6809543337
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.03%  my_executable  [kernel.vmlinux]        [k] string
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073dfd
     0.03%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009ae4
     0.03%  my_executable  [kernel.vmlinux]        [k] mod_objcg_state
     0.02%  my_executable  [kernel.vmlinux]        [k] get_pfnblock_flags_mask
     0.02%  my_executable  [kernel.vmlinux]        [k] __mod_memcg_lruvec_state
     0.02%  my_executable  [kernel.vmlinux]        [k] change_protection
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073d9c
     0.02%  my_executable  libc.so.6               [.] _IO_fread
     0.02%  my_executable  [kernel.vmlinux]        [k] kernfs_iop_permission
     0.02%  my_executable  [kernel.vmlinux]        [k] lookup_fast
     0.02%  my_executable  [kernel.vmlinux]        [k] _compound_head
     0.02%  my_executable  [kernel.vmlinux]        [k] up_read
     0.02%  my_executable  libhwloc.so.15.7.0      [.] 0x0000000000037537
     0.02%  my_executable  libucs.so.0.0.0         [.] bfd_getl64
     0.02%  my_executable  [kernel.vmlinux]        [k] tlb_gather_mmu
     0.02%  my_executable  [kernel.vmlinux]        [k] native_write_msr
     0.02%  my_executable  [kernel.vmlinux]        [k] __rcu_read_lock
     0.02%  my_executable  libucs.so.0.0.0         [.] bfd_section_from_elf_index
     0.02%  my_executable  [kernel.vmlinux]        [k] intel_cpufreq_fast_switch
     0.02%  my_executable  [kernel.vmlinux]        [k] perf_event_alloc
     0.02%  my_executable  libucs.so.0.0.0         [.] 0x00000000000860d2
     0.02%  my_executable  [kernel.vmlinux]        [k] mod_memcg_state
     0.02%  my_executable  [kernel.vmlinux]        [k] lock_vma_under_rcu
     0.02%  my_executable  [kernel.vmlinux]        [k] down_read_trylock
     0.02%  my_executable  libucs.so.0.0.0         [.] bfd_zalloc
     0.02%  my_executable  [kernel.vmlinux]        [k] inode_permission
     0.02%  my_executable  [kernel.vmlinux]        [k] get_vma_policy
     0.02%  my_executable  [kernel.vmlinux]        [k] free_unref_page_prepare
     0.02%  my_executable  libucs.so.0.0.0         [.] 0x00000000000e2475
     0.02%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025d2
     0.02%  my_executable  [kernel.vmlinux]        [k] down_write_killable
     0.02%  my_executable  [kernel.vmlinux]        [k] down_write
     0.02%  my_executable  [kernel.vmlinux]        [k] sysfs_kf_seq_show
     0.02%  my_executable  [kernel.vmlinux]        [k] __calc_delta.constprop.0
     0.02%  my_executable  [kernel.vmlinux]        [k] do_anonymous_page
     0.02%  my_executable  [kernel.vmlinux]        [k] tlb_finish_mmu
     0.02%  my_executable  [kernel.vmlinux]        [k] alloc_pages_mpol
     0.02%  my_executable  libucs.so.0.0.0         [.] bfd_elf_sym_name
     0.02%  my_executable  libc.so.6               [.] 0x000000000005513c
     0.02%  my_executable  libc.so.6               [.] __sprintf_chk
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073374
     0.02%  my_executable  [kernel.vmlinux]        [k] pci_read_config
     0.02%  my_executable  libucs.so.0.0.0         [.] 0x00000000000860bf
     0.02%  my_executable  [kernel.vmlinux]        [k] path_openat
     0.02%  my_executable  [kernel.vmlinux]        [k] __memcg_slab_post_alloc_hook
     0.02%  my_executable  [kernel.vmlinux]        [k] follow_trans_huge_pmd
