# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cycles:P'
# Event count (approx.): 14749627215
#
# Overhead  Command        Shared Object           Symbol                                     
# ........  .............  ......................  ...........................................
#
     0.01%  my_executable  [kernel.vmlinux]        [k] sysfs_kf_seq_show
     0.01%  my_executable  [kernel.vmlinux]        [k] sync_regs
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073be4
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cd0
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c4c
     0.01%  my_executable  [kernel.vmlinux]        [k] __schedule
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073607
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073918
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bff
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732c8
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073987
     0.01%  my_executable  [kernel.vmlinux]        [k] dput
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c5d
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073ce5
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c63
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073330
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_se
     0.01%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc
     0.01%  my_executable  [kernel.vmlinux]        [k] __fdget_pos
     0.01%  my_executable  [kernel.vmlinux]        [k] syscall_exit_to_user_mode
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073910
     0.01%  my_executable  [kernel.vmlinux]        [k] memcpy_orig
     0.01%  my_executable  [kernel.vmlinux]        [k] show_cpuinfo
     0.01%  my_executable  [kernel.vmlinux]        [k] slab_update_freelist.isra.0
     0.01%  my_executable  [kernel.vmlinux]        [k] mas_leaf_max_gap
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009ae4
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073416
     0.01%  my_executable  [kernel.vmlinux]        [k] __calc_delta.constprop.0
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c54
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735a2
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_cfs_rq
     0.01%  my_executable  [kernel.vmlinux]        [k] seq_printf
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730a5
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073f74
     0.01%  my_executable  [kernel.vmlinux]        [k] kmalloc_trace
     0.01%  my_executable  libopen-pal.so.80.0.2   [.] mca_base_var_generate_full_name4
     0.01%  my_executable  [kernel.vmlinux]        [k] lruvec_stat_mod_folio.constprop.0
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073313
     0.01%  my_executable  libm.so.6               [.] 0x00000000000733ef
     0.01%  my_executable  libc.so.6               [.] __libc_calloc
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073db4
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735af
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732f9
     0.01%  my_executable  libm.so.6               [.] 0x000000000007329f
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735b7
     0.01%  my_executable  [kernel.vmlinux]        [k] unmap_page_range
     0.01%  my_executable  libm.so.6               [.] 0x000000000007391b
     0.01%  my_executable  [kernel.vmlinux]        [k] rebalance_domains
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c6a
     0.01%  my_executable  libc.so.6               [.] sched_setaffinity
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_iop_permission
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073370
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000293a
     0.01%  my_executable  libc.so.6               [.] 0x000000000015a000
     0.01%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc_bulk
     0.01%  my_executable  [kernel.vmlinux]        [k] lru_gen_add_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] x86_pmu_hw_config
     0.01%  my_executable  libc.so.6               [.] 0x00000000001568a8
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_unlock_irq
     0.01%  my_executable  libc.so.6               [.] pthread_mutex_lock
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_lruvec_state
     0.01%  my_executable  libopen-pal.so.80.0.2   [.] opal_hash_table_get_value_ptr
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735c4
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730b8
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_unlock
     0.01%  my_executable  [kernel.vmlinux]        [k] intel_cpufreq_fast_switch
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_memcg_state
     0.01%  my_executable  [kernel.vmlinux]        [k] __lruvec_stat_mod_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] folio_batch_move_lru
     0.01%  my_executable  [kernel.vmlinux]        [k] rep_movs_alternative
     0.01%  my_executable  [kernel.vmlinux]        [k] string
     0.01%  my_executable  [kernel.vmlinux]        [k] vsnprintf
     0.01%  my_executable  [kernel.vmlinux]        [k] strcmp
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159fe9
     0.01%  my_executable  libc.so.6               [.] openat64
     0.01%  my_executable  [kernel.vmlinux]        [k] update_cfs_group
     0.01%  my_executable  [kernel.vmlinux]        [k] exc_page_fault
     0.01%  my_executable  [kernel.vmlinux]        [k] fd_install
     0.01%  my_executable  [kernel.vmlinux]        [k] __pte_offset_map
     0.01%  my_executable  [kernel.vmlinux]        [k] __sysvec_apic_timer_interrupt
     0.01%  my_executable  [kernel.vmlinux]        [k] update_sd_lb_stats.constprop.0
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000986b
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a660
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000097e5
     0.01%  my_executable  [kernel.vmlinux]        [k] do_anonymous_page
     0.01%  my_executable  [kernel.vmlinux]        [k] ktime_get_update_offsets_now
     0.01%  my_executable  [kernel.vmlinux]        [k] timekeeping_advance
     0.01%  my_executable  [kernel.vmlinux]        [k] _compound_head
     0.01%  my_executable  libgomp.so.1.0.0        [.] gomp_fini_work_share
     0.01%  my_executable  [kernel.vmlinux]        [k] notifier_call_chain
     0.01%  my_executable  [kernel.vmlinux]        [k] flush_tlb_mm_range
     0.01%  my_executable  [kernel.vmlinux]        [k] __ptep_modify_prot_start
     0.01%  my_executable  [kernel.vmlinux]        [k] hrtimer_active
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009670
     0.01%  my_executable  [kernel.vmlinux]        [k] rb_next
     0.01%  my_executable  [kernel.vmlinux]        [k] strlen
     0.01%  my_executable  [kernel.vmlinux]        [k] __x86_indirect_thunk_array
     0.01%  my_executable  [kvm]                   [k] 0x00000000000239a0
     0.01%  my_executable  [kernel.vmlinux]        [k] mod_memcg_lruvec_state
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e5ec
     0.01%  my_executable  [kernel.vmlinux]        [k] release_pages
     0.01%  my_executable  [kernel.vmlinux]        [k] number
     0.01%  my_executable  [kernel.vmlinux]        [k] _compound_head
     0.01%  my_executable  [kernel.vmlinux]        [k] mutex_lock
     0.01%  my_executable  [kernel.vmlinux]        [k] select_task_rq_fair
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009aec
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_iop_get_link
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000981f
     0.01%  my_executable  libc.so.6               [.] getenv
     0.01%  my_executable  [kernel.vmlinux]        [k] __d_lookup_rcu
     0.01%  my_executable  [kernel.vmlinux]        [k] folio_remove_rmap_ptes
     0.01%  my_executable  [kernel.vmlinux]        [k] may_open
     0.01%  my_executable  libucs.so.0.0.0         [.] ucs_debug_disable_signal
     0.01%  my_executable  [kernel.vmlinux]        [k] native_flush_tlb_one_user
     0.01%  my_executable  libc.so.6               [.] 0x000000000009954c
     0.01%  my_executable  [kernel.vmlinux]        [k] free_unref_page_commit
     0.00%  my_executable  libc.so.6               [.] 0x00000000000994a4
     0.00%  my_executable  [kernel.vmlinux]        [k] rcu_sched_clock_irq
     0.00%  my_executable  [kernel.vmlinux]        [k] cpuacct_charge
     0.00%  my_executable  [kernel.vmlinux]        [k] __tcp_close
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097f75
     0.00%  my_executable  libmpi.so.40.40.2       [.] 0x00000000000729d7
     0.00%  my_executable  [kernel.vmlinux]        [k] refill_obj_stock
     0.00%  my_executable  [kernel.vmlinux]        [k] bpf_get_current_cgroup_id
     0.00%  my_executable  libc.so.6               [.] 0x000000000008782d
     0.00%  my_executable  [kernel.vmlinux]        [k] migrate_enable
     0.00%  my_executable  [kernel.vmlinux]        [k] mod_objcg_state
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097e65
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_fop_release
     0.00%  my_executable  libc.so.6               [.] 0x0000000000099456
     0.00%  my_executable  libc.so.6               [.] cfree
     0.00%  my_executable  [kernel.vmlinux]        [k] security_inode_permission
     0.00%  my_executable  [kernel.vmlinux]        [k] strncpy_from_user
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073a77
     0.00%  my_executable  [kernel.vmlinux]        [k] cpufreq_this_cpu_can_update
     0.00%  my_executable  [kernel.vmlinux]        [k] __anon_vma_interval_tree_subtree_search
     0.00%  my_executable  [kernel.vmlinux]        [k] update_curr_se
     0.00%  my_executable  [kernel.vmlinux]        [k] switch_fpu_return
     0.00%  my_executable  libm.so.6               [.] 0x000000000007330b
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073cd8
