# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles:P'
# Event count (approx.): 27923495162
#
# Overhead  Command        Shared Object           Symbol                                 
# ........  .............  ......................  .......................................
#
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c66
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_memcg_lruvec_state
     0.01%  my_executable  [kernel.vmlinux]        [k] __calc_delta.constprop.0
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cd8
     0.01%  my_executable  [kernel.vmlinux]        [k] kfree
     0.01%  my_executable  [kernel.vmlinux]        [k] rcu_sched_clock_irq
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073285
     0.01%  my_executable  [kernel.vmlinux]        [k] security_inode_permission
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073fa8
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a40b
     0.01%  my_executable  [kernel.vmlinux]        [k] ktime_get_update_offsets_now
     0.01%  my_executable  libhwloc.so.15.7.0      [.] 0x0000000000037537
     0.01%  my_executable  [kernel.vmlinux]        [k] ___slab_alloc
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c58
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_cfs_rq
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730c6
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c5d
     0.01%  my_executable  [kernel.vmlinux]        [k] __virt_addr_valid
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073918
     0.01%  my_executable  [kernel.vmlinux]        [k] migrate_pages_batch
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073df2
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_se
     0.01%  my_executable  libm.so.6               [.] 0x00000000000733a6
     0.01%  my_executable  libm.so.6               [.] 0x000000000007394b
     0.01%  my_executable  libm.so.6               [.] 0x000000000007391b
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073135
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_dop_revalidate
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073596
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c54
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730ee
     0.01%  my_executable  [kernel.vmlinux]        [k] generic_permission
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_trylock
     0.01%  my_executable  [kernel.vmlinux]        [k] update_sd_lb_stats.constprop.0
     0.01%  my_executable  libm.so.6               [.] 0x000000000007333c
     0.01%  my_executable  libm.so.6               [.] 0x000000000007334d
     0.01%  my_executable  [kernel.vmlinux]        [k] trigger_load_balance
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d54
     0.01%  my_executable  [kernel.vmlinux]        [k] native_apic_msr_eoi
     0.01%  my_executable  [kernel.vmlinux]        [k] nohz_balance_exit_idle
     0.01%  my_executable  [kernel.vmlinux]        [k] get_mem_cgroup_from_mm
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073caa
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073772
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d58
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073fb2
     0.01%  my_executable  libc.so.6               [.] realloc
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c19
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c63
     0.01%  my_executable  [kernel.vmlinux]        [k] dput
     0.00%  my_executable  [kernel.vmlinux]        [k] reweight_entity
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073cca
     0.00%  my_executable  [kernel.vmlinux]        [k] update_cfs_group
     0.00%  my_executable  libm.so.6               [.] 0x000000000007329f
     0.00%  my_executable  [kernel.vmlinux]        [k] cpu_util
     0.00%  my_executable  [kernel.vmlinux]        [k] task_mm_cid_work
     0.00%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio
     0.00%  my_executable  [kernel.vmlinux]        [k] account_process_tick
     0.00%  my_executable  [kernel.vmlinux]        [k] tick_sched_do_timer
     0.00%  my_executable  libm.so.6               [.] 0x00000000000738f0
     0.00%  my_executable  libm.so.6               [.] 0x000000000007327c
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735af
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d9f
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e570
     0.00%  my_executable  libm.so.6               [.] 0x00000000000738f4
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073bc6
     0.00%  my_executable  [kernel.vmlinux]        [k] exc_page_fault
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009a75
     0.00%  my_executable  [kernel.vmlinux]        [k] kmalloc_trace
     0.00%  my_executable  [kernel.vmlinux]        [k] ktime_get
     0.00%  my_executable  [kernel.vmlinux]        [k] sysvec_apic_timer_interrupt
     0.00%  my_executable  libm.so.6               [.] 0x000000000007336c
     0.00%  my_executable  [kernel.vmlinux]        [k] sync_regs
     0.00%  my_executable  [kernel.vmlinux]        [k] strlen
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_iop_permission
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073322
     0.00%  my_executable  [kernel.vmlinux]        [k] hrtimer_interrupt
     0.00%  my_executable  libm.so.6               [.] 0x000000000007316f
     0.00%  my_executable  [kernel.vmlinux]        [k] llist_add_batch
     0.00%  my_executable  [kernel.vmlinux]        [k] vma_alloc_folio
     0.00%  my_executable  [kernel.vmlinux]        [k] find_get_pmu_context
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_thread_start
     0.00%  my_executable  [kernel.vmlinux]        [k] show_cpuinfo
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073313
     0.00%  my_executable  [kernel.vmlinux]        [k] lockref_get
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735fc
     0.00%  my_executable  [kernel.vmlinux]        [k] do_anonymous_page
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_hash_table_get_value_ptr
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000293a
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c6d
     0.00%  my_executable  libm.so.6               [.] 0x00000000000730a5
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009a7e
     0.00%  my_executable  [kernel.vmlinux]        [k] effective_cpu_util
     0.00%  my_executable  [kernel.vmlinux]        [k] seq_printf
     0.00%  my_executable  [kernel.vmlinux]        [k] update_process_times
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073327
     0.00%  my_executable  libc.so.6               [.] malloc
     0.00%  my_executable  libc.so.6               [.] 0x0000000000156884
     0.00%  my_executable  libm.so.6               [.] 0x000000000007373c
     0.00%  my_executable  [kernel.vmlinux]        [k] percpu_counter_add_batch
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002746
     0.00%  my_executable  libstencil.so           [.] sin@plt
     0.00%  my_executable  [kernel.vmlinux]        [k] __fdget_pos
     0.00%  my_executable  [kernel.vmlinux]        [k] __mod_lruvec_state
     0.00%  my_executable  [kernel.vmlinux]        [k] entry_SYSRETQ_unsafe_stack
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b4d
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c45
     0.00%  my_executable  libc.so.6               [.] pthread_mutex_lock
     0.00%  my_executable  libc.so.6               [.] 0x0000000000159fe1
     0.00%  my_executable  [kernel.vmlinux]        [k] number
     0.00%  my_executable  [kernel.vmlinux]        [k] down_read_trylock
     0.00%  my_executable  [kernel.vmlinux]        [k] try_charge_memcg
     0.00%  my_executable  [kernel.vmlinux]        [k] native_read_msr
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073404
     0.00%  my_executable  [kernel.vmlinux]        [k] _compound_head
     0.00%  my_executable  [kernel.vmlinux]        [k] native_flush_tlb_one_user
     0.00%  my_executable  [kernel.vmlinux]        [k] __x86_indirect_thunk_array
     0.00%  my_executable  [kernel.vmlinux]        [k] unmap_page_range
     0.00%  my_executable  [kernel.vmlinux]        [k] refill_obj_stock
     0.00%  my_executable  [kernel.vmlinux]        [k] set_root
     0.00%  my_executable  [kernel.vmlinux]        [k] do_dentry_open
     0.00%  my_executable  [kernel.vmlinux]        [k] rep_movs_alternative
     0.00%  my_executable  [kernel.vmlinux]        [k] sysfs_kf_seq_show
     0.00%  my_executable  [kernel.vmlinux]        [k] __rcu_read_lock
     0.00%  my_executable  [kernel.vmlinux]        [k] vma_interval_tree_remove
     0.00%  my_executable  [kernel.vmlinux]        [k] format_decode
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073cdf
     0.00%  my_executable  [kernel.vmlinux]        [k] __check_heap_object
     0.00%  my_executable  [kernel.vmlinux]        [k] timerqueue_add
     0.00%  my_executable  [kernel.vmlinux]        [k] read_tsc
     0.00%  my_executable  [kernel.vmlinux]        [k] update_curr_se
     0.00%  my_executable  [kernel.vmlinux]        [k] kmem_cache_free
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a996
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073bff
     0.00%  my_executable  [kernel.vmlinux]        [k] free_pcppages_bulk
     0.00%  my_executable  [kernel.vmlinux]        [k] __handle_mm_fault
     0.00%  my_executable  libc.so.6               [.] cfree
     0.00%  my_executable  [kernel.vmlinux]        [k] path_init
     0.00%  my_executable  [kernel.vmlinux]        [k] pci_read_config
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735b7
     0.00%  my_executable  [kernel.vmlinux]        [k] affine_move_task
     0.00%  my_executable  [kernel.vmlinux]        [k] __free_one_page
     0.00%  my_executable  libc.so.6               [.] 0x000000000008782d
     0.00%  my_executable  [kernel.vmlinux]        [k] _raw_spin_unlock
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073ce5
     0.00%  my_executable  [kernel.vmlinux]        [k] obj_cgroup_charge
     0.00%  my_executable  [kernel.vmlinux]        [k] __memcg_slab_post_alloc_hook
     0.00%  my_executable  [kernel.vmlinux]        [k] __hrtimer_run_queues
     0.00%  my_executable  [kernel.vmlinux]        [k] native_sched_clock
     0.00%  my_executable  [kernel.vmlinux]        [k] __accumulate_pelt_segments
     0.00%  my_executable  [kernel.vmlinux]        [k] inode_permission
     0.00%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc
     0.00%  my_executable  [kernel.vmlinux]        [k] __local_bh_enable_ip
     0.00%  my_executable  [kernel.vmlinux]        [k] is_vmalloc_addr
     0.00%  my_executable  libc.so.6               [.] __sched_cpufree
     0.00%  my_executable  [kernel.vmlinux]        [k] bpf_lsm_inode_alloc_security
     0.00%  my_executable  [kernel.vmlinux]        [k] __nla_reserve
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_ifindextoname
     0.00%  my_executable  [kernel.vmlinux]        [k] llist_reverse_order
     0.00%  my_executable  [kernel.vmlinux]        [k] change_protection
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_wr_spanning_store.isra.0
     0.00%  my_executable  [kernel.vmlinux]        [k] futex_q_lock
     0.00%  my_executable  [kernel.vmlinux]        [k] intel_cpufreq_update_pstate
     0.00%  my_executable  [kernel.vmlinux]        [k] vm_normal_folio
     0.00%  my_executable  [kernel.vmlinux]        [k] intel_cpufreq_fast_switch
